,teamname,outs,base_state_retro,chosen_runner_strategy,model_optimal_strategy,chosen_strategy_payoff,model_optimal_payoff,payoff_diff,sp1,sp2,speed_1b,speed_2b,speed_3b,arm_strength
1881,BOS,1,110,[],[],0.0,0.0,0.0,0.02232506192321884,0.02270342048800394,26.4,24.9,,94.2
1882,BOS,0,110,[2],[2],0.6679999999999999,0.6401743999999999,0.027825600000000006,0.11534349023516616,0.969052466560551,26.4,24.9,,92.6
1884,TOR,0,110,[],[2],0.0,0.6401743999999999,-0.6401743999999999,0.3585796784338039,0.9633035334998427,28.8,27.1,,93.6
1886,BOS,1,110,[],[],0.0,0.0,0.0,0.00021937868570852628,0.039790463158218575,25.2,27.3,,97.9
1887,SEA,1,110,[],[2],0.0,0.0346815999999999,-0.0346815999999999,0.057957345333166856,0.9407673092519289,26.7,29.0,,93.6
1888,CIN,0,110,[],[],0.0,0.0,0.0,0.001141816417462312,0.040205665441592535,28.4,27.8,,96.8
1889,CIN,1,110,[],[],0.0,0.0,0.0,0.012580198082409648,0.48440182781713503,28.4,27.8,,93.6
1890,TBA,0,101,"[3, 1]",[],0.098,0.0,0.098,0.0028148074267879603,0.9582411589140941,26.6,,27.4,93.6
1891,BOS,1,110,[],[],0.0,0.0,0.0,0.00019822836959219444,0.0013509126100022886,24.9,26.9,,92.6
1892,COL,1,110,[],[],0.0,0.0,0.0,0.005587718489621742,0.7686878324548485,27.4,28.4,,92.1
1893,COL,1,11,[3],[3],0.737,0.737,0.0,0.5457813668139244,0.9982973641924279,,28.4,29.9,96.8
1895,MIA,1,11,[],[],0.0,0.0,0.0,0.01184314955350316,0.019764486605313193,,26.1,27.8,98.2
1896,TEX,0,11,[],[],0.0,0.0,0.0,0.007966280355556913,0.1027277506370278,,26.8,26.2,93.6
1897,BOS,0,11,[3],"[2, 3]",0.28,0.2746039999999998,0.005396000000000234,0.6853116130395219,0.8160692561432658,,26.0,26.2,97.0
1898,TEX,1,101,"[3, 1]",[3],0.829,0.7290000000000001,0.09999999999999987,0.4948438889847544,0.9990062882116421,29.1,,26.8,98.2
1901,OAK,1,110,[],[],0.0,0.0,0.0,0.006250465403102837,0.20669574729583717,26.2,28.0,,96.8
1902,BOS,1,110,[],[],0.0,0.0,0.0,0.07401299954087322,0.36477514329948835,26.9,28.3,,87.9
1904,BOS,1,110,[2],[],-0.443,0.0,-0.443,0.06662179485711267,0.649970410077292,26.0,25.9,,99.1
1905,BOS,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.09682550618070733,0.9882523651839551,27.1,,27.9,85.9
1906,KCA,1,110,[],[2],0.0,0.0245224,-0.0245224,0.023887338016789585,0.9091426729597272,27.6,27.3,,92.1
1908,BOS,1,110,[],[],0.0,0.0,0.0,6.745489431795982e-05,2.513587452764001e-05,26.0,26.2,,97.4
1910,BOS,1,110,[],[],0.0,0.0,0.0,0.0005146096379694061,6.132528967502622e-05,27.9,26.0,,90.2
1911,BOS,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.12561090738335554,0.9665956542998458,26.0,26.2,,96.2
1912,BOS,0,11,[],"[2, 3]",0.0,0.0648187999999999,-0.0648187999999999,0.5815902219343915,0.6584228604421033,,27.6,26.0,95.6
1913,BOS,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.5227032735897353,0.9985758997472597,24.9,26.2,,91.2
1914,HOU,0,110,[],[],0.0,0.0,0.0,0.00014174389838672404,0.019168456185436413,29.4,27.6,,98.2
1915,BOS,1,110,[],[],0.0,0.0,0.0,0.00024346408588004105,0.16174314372043458,24.9,27.6,,99.3
1916,BAL,1,110,[],[2],0.0,0.0042039999999999,-0.0042039999999999,0.06085490890770601,0.8492257808335066,26.7,27.0,,92.1
1917,BOS,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.0007109249785427962,0.05402174656549915,28.3,,26.4,97.1
1918,BOS,1,11,[],[],0.0,0.0,0.0,0.04084817775954446,0.12104377629921739,,27.5,28.8,99.7
1920,CHA,1,110,[],[2],0.0,0.0346815999999999,-0.0346815999999999,0.02094736809251715,0.9371853671068623,25.5,26.5,,98.2
1921,BOS,1,110,[],[],0.0,0.0,0.0,0.003130960053673279,0.657687869956607,25.9,26.4,,91.8
1922,BOS,1,110,[],[],0.0,0.0,0.0,0.004717533162259798,0.6962407655015138,26.0,28.8,,92.8
1923,BOS,1,110,[],[],0.0,0.0,0.0,0.010163781170652959,0.013682663905730315,27.6,26.2,,96.9
1924,CHA,1,101,[3],[3],0.7290000000000001,0.3368508,0.3921492000000001,0.000460586783971142,0.5288384759447816,25.5,,26.5,100.7
1925,TBA,1,110,[],[],0.0,0.0,0.0,0.010987116880987772,0.03764933476413988,27.8,28.7,,100.7
1926,CHA,0,110,[],[2],0.0,0.2877167999999999,-0.2877167999999999,0.002998982781985982,0.6047404170954978,26.5,27.3,,94.3
1930,BAL,1,110,[],[],0.0,0.0,0.0,0.03323528619507078,0.013440332485323862,30.1,28.8,,96.9
1932,CHA,1,11,[3],[3],0.737,0.6287168,0.10828320000000002,0.5228352590443992,0.8799415627082489,,22.8,25.5,99.7
1933,BAL,1,110,[],[],0.0,0.0,0.0,0.018820130579326123,0.06004485470381079,27.4,26.7,,96.9
1934,BAL,1,110,[],[],0.0,0.0,0.0,0.009810239163755365,0.02334113572622048,27.4,26.7,,91.8
1937,CHA,1,110,[],[],0.0,0.0,0.0,0.0007458177808261098,0.1467221690330494,28.0,26.5,,87.5
1938,CHA,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.6134114276700946,0.9974372774999569,28.0,26.5,,87.1
1941,CHA,1,11,[3],[3],0.737,0.6287168,0.10828320000000002,0.26439902725948056,0.8844542912147814,,28.0,22.8,92.6
1943,HOU,1,110,[],[],0.0,0.0,0.0,0.19775771006853768,0.28729790622392654,26.3,23.2,,96.9
1947,KCA,0,110,[],[],0.0,0.0,0.0,0.02191078952038783,0.014954142736606188,27.1,26.3,,96.9
1949,CHA,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9983116386489032,0.9986698164071101,,28.7,28.0,95.4
1952,MIA,0,110,[2],[2],0.6679999999999999,0.5845232,0.0834767999999999,0.023539703973440417,0.8989551453704998,26.6,26.1,,91.8
1953,TEX,1,110,[],[],0.0,0.0,0.0,0.039151957521594886,0.11034453088759792,29.1,27.3,,96.9
1957,BOS,1,110,[],[],0.0,0.0,0.0,0.002927595035552828,0.5670073291901687,27.1,26.9,,91.8
1958,BOS,1,101,[3],[3],0.7290000000000001,0.7039692000000001,0.02503080000000002,0.006095946611137086,0.9845850700182835,24.9,,26.0,92.8
1959,BOS,1,11,[],[],0.0,0.0,0.0,0.000290361302426041,0.0619875382236627,,27.6,26.0,96.9
1960,CHA,1,110,[],[2],0.0,0.0346815999999999,-0.0346815999999999,0.30368048803150305,0.942433606431943,26.5,28.7,,98.6
1961,CHA,1,110,[],[],0.0,0.0,0.0,0.012671632069940805,0.011621256249796853,25.5,26.5,,93.4
1962,CHN,1,110,[],[],0.0,0.0,0.0,0.0012652041467768897,0.18472544558709544,27.7,28.5,,92.8
1968,MIL,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.008807821915927003,0.7923139456559781,27.6,,28.6,91.8
1970,SEA,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.28185859623572845,0.9971416166875301,24.5,26.7,,92.8
1971,CHA,1,110,[],[],0.0,0.0,0.0,0.01535147854990849,0.8112331154730815,27.6,27.0,,93.1
1972,CHA,1,110,[2],"[1, 2]",0.0549999999999999,0.0988559999999999,-0.043856,0.8850702853725659,0.9994603640938095,28.7,27.2,,88.2
1973,OAK,0,110,[2],[2],0.6679999999999999,0.6123487999999999,0.05565120000000001,0.04644823192552398,0.9470977463882262,26.2,27.1,,92.8
1974,OAK,1,110,[],[],0.0,0.0,0.0,0.11026545818336421,0.7984416584566237,27.6,26.2,,92.8
1975,OAK,0,110,[2],[2],0.6679999999999999,0.5845232,0.0834767999999999,0.026572593932072397,0.9217143845211011,26.2,27.1,,92.8
1978,CHA,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.5504526760449975,0.9900885640768189,27.6,26.4,,93.9
1979,CHA,0,11,[3],[],0.28,0.0,0.28,0.1435998436138803,0.5378491499348753,,27.3,27.2,95.0
1980,DET,1,110,[],[],0.0,0.0,0.0,0.0005741679813479718,0.010222127998456995,29.3,29.1,,96.9
1982,MIN,1,110,[],[2],0.0,0.0549999999999999,-0.0549999999999999,0.31123945692551364,0.987209792317328,27.2,28.2,,92.8
1983,CHA,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.2311440140852886,0.9844160352501401,27.3,27.2,,89.5
1984,ARI,1,101,[3],[3],0.7290000000000001,0.7039692000000001,0.02503080000000002,0.0015647052659957558,0.9557807929032117,27.7,,30.1,96.9
1987,SDN,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.027968506447166936,0.980369229363086,27.7,,28.6,91.8
1988,CHA,0,110,[2],[2],0.6679999999999999,0.5288719999999999,0.13912800000000003,0.010990010524611817,0.8391643737251139,27.2,27.6,,100.7
1989,CHA,1,110,[],[],0.0,0.0,0.0,0.002041189245144358,0.0003568659931699259,26.5,25.5,,93.9
1991,CLE,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.0766446275516364,0.9781785161084529,28.1,29.2,,97.9
1993,CLE,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.03857484439435123,0.9965985274142823,27.8,,28.1,95.9
1994,NYA,0,110,"[2, 1]",[2],-0.554,0.6401743999999999,-1.1941744,0.21080603697390848,0.9641701294467024,26.7,25.7,,94.0
1999,CLE,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.12236900630561408,0.9979136729354182,29.4,,28.1,93.2
2002,CLE,0,110,[],[],0.0,0.0,0.0,0.001150752057760918,0.06953742277900661,25.9,25.8,,101.3
2005,DET,0,110,[],[],0.0,0.0,0.0,0.01781765441460351,0.11334839010118987,28.0,27.2,,92.9
2008,CLE,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.005840972202525463,0.9384559911064368,29.4,,28.1,92.1
2009,CLE,1,101,"[3, 1]",[3],0.829,0.4620048000000001,0.36699519999999985,0.0015216261508223714,0.6724479575139998,29.2,,25.8,95.4
2010,CLE,0,110,[2],[2],0.6679999999999999,0.5845232,0.0834767999999999,0.054476505238970574,0.9172360784587937,29.4,28.1,,95.4
2012,CLE,1,11,[2],"[2, 3]",-0.59,0.7475300000000001,-1.33753,0.9710613773884338,0.9780593009521737,,29.4,28.1,95.4
2015,CLE,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.4157693490060616,0.9970055437541586,25.9,27.8,,98.6
2016,CLE,1,110,[],[],0.0,0.0,0.0,0.0008170467379962669,0.015369428979418205,28.1,29.2,,93.7
2017,BOS,1,110,[],[],0.0,0.0,0.0,0.0004245390826364558,0.0002084681767269835,25.2,26.2,,92.9
2019,CLE,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.5664663603770761,0.9901444041094625,28.1,25.4,,93.6
2020,HOU,1,110,[2],[],0.0549999999999999,0.0,0.0549999999999999,0.07666524849179174,0.6915199276438329,26.3,28.1,,92.9
2021,HOU,1,11,"[3, 2]","[2, 3]",0.779,0.7639448,0.015055200000000046,0.9355166115616226,0.9992440998697397,,29.4,28.2,92.9
2022,CLE,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.09578065978007969,0.9983460844430797,27.8,,29.4,99.3
2024,CLE,0,101,[],[],0.0,0.0,0.0,0.0007673419559640184,0.7125120236195416,29.4,,28.1,97.0
2025,CLE,1,101,[3],[3],0.7290000000000001,0.1115736,0.6174264,0.002838455418437424,0.25813137713889583,29.4,,28.1,99.3
2027,OAK,1,110,[],[],0.0,0.0,0.0,0.17000460527176645,0.38879227247818754,29.6,26.0,,92.9
2029,ATL,1,110,[],[],0.0,0.0,0.0,0.07166612761119269,0.4462578522980465,26.1,26.2,,92.9
2031,CLE,1,110,[],[],0.0,0.0,0.0,0.0028880680261310055,0.17968723694680502,29.4,28.1,,91.6
2032,KCA,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.999028810140338,0.9996324348881718,,27.6,27.1,94.0
2033,CLE,0,11,[],[],0.0,0.0,0.0,0.0002202534821777065,0.06391541150458689,,28.6,27.8,97.4
2034,CLE,0,110,[],[],0.0,0.0,0.0,0.00153497651282668,0.1013995764449127,29.4,28.1,,91.6
2035,CLE,1,110,[],[],0.0,0.0,0.0,0.05015138092844748,0.03117841302428613,29.4,28.1,,97.4
2036,CLE,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.5136529896483895,0.9958310056984235,28.3,29.2,,91.6
2038,CLE,1,11,[],[3],0.0,0.0963243999999999,-0.0963243999999999,0.00046102232213316645,0.29334587822578445,,27.8,29.2,91.6
2039,TOR,1,110,[],[],0.0,0.0,0.0,0.0043633185642564165,0.7772465574499577,23.7,27.2,,94.3
2040,CLE,1,110,[],[],0.0,0.0,0.0,0.004590164161448796,0.027821540541241023,28.1,29.2,,96.2
2041,LAN,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.07449188120469254,0.9927492309822917,26.7,,27.2,92.9
2042,LAN,1,11,[3],[3],0.737,0.6557876,0.08121239999999996,0.1705972204453194,0.9228457526473189,,28.9,27.1,94.3
2043,CLE,1,11,[3],[3],0.737,0.7099291999999998,0.027070800000000173,0.18793889322731921,0.9808185443943432,,28.1,29.2,92.6
2044,CLE,1,101,[3],[],0.502,0.0,0.502,2.3845299932190378e-05,0.06976393272379235,28.1,,27.4,101.2
2045,CLE,1,110,[2],[],-0.443,0.0,-0.443,0.000853821321254999,0.08747481141052454,27.9,25.8,,101.2
2046,CLE,0,110,[],[2],0.0,0.3711935999999999,-0.3711935999999999,0.029587991110276227,0.6858785136049184,27.4,28.0,,101.2
2047,CLE,1,110,[],[2],0.0,0.0245224,-0.0245224,0.016519693394611956,0.9072728942325443,27.4,28.0,,91.2
2048,MIN,0,110,[],[2],0.0,0.6679999999999999,-0.6679999999999999,0.7228170684128009,0.9942796941581186,28.2,27.6,,94.3
2049,MIN,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.35780911644120217,0.9916081808099374,26.6,28.2,,94.3
2050,CLE,0,11,[],[],0.0,0.0,0.0,0.0035067079635842423,0.4798584361452467,,29.2,27.9,101.2
2051,CLE,1,11,"[3, 2]","[2, 3]",0.779,0.6181076000000001,0.16089239999999994,0.8284129188953322,0.8587739218306222,,27.4,28.0,93.0
2052,CLE,0,110,[],[],0.0,0.0,0.0,0.002995679306547043,0.000549913497140871,28.1,25.4,,95.7
2053,CLE,1,101,[3],[3],0.7290000000000001,0.5287536,0.20024640000000005,0.003235494707568904,0.7659118500340719,27.8,,28.1,97.1
2055,CLE,1,101,[3],[3],0.7290000000000001,0.5788152,0.15018480000000012,0.008768012373397475,0.8224662863548449,25.8,,27.8,99.7
2056,BOS,0,110,"[2, 1]",[2],0.486,0.6401743999999999,-0.15417439999999993,0.30642834569149957,0.9640803418258592,27.6,26.2,,92.1
2057,BOS,1,11,[],[3],0.0,0.6287168,-0.6287168,0.20291769372829735,0.8807960408707678,,27.3,26.2,92.1
2058,DET,1,11,"[3, 2]","[2, 3]",0.779,0.7714724000000001,0.007527599999999968,0.9600061742580092,0.9952587544848489,,27.2,28.1,98.2
2059,DET,1,110,[2],[2],0.0549999999999999,0.0143632,0.040636799999999904,0.015467485263323767,0.8666091389160315,28.1,28.1,,98.2
2060,BOS,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.6437209023534978,0.98805341191591,27.7,27.3,,92.1
2061,BOS,1,101,[],[3],0.0,0.31182,-0.31182,0.0006835375245033935,0.508222011897389,27.1,,28.3,96.2
2062,BOS,1,101,"[3, 1]",[3],0.829,0.1115736,0.7174263999999999,0.00014471588932972712,0.2700951333927177,26.0,,27.1,95.0
2064,SFN,0,110,[],[2],0.0,0.4268448000000001,-0.4268448000000001,0.031667011965801795,0.746014760411459,25.8,27.0,,92.1
2065,SFN,1,110,[],[],0.0,0.0,0.0,0.0005748203845125873,0.15560247660658494,26.0,25.8,,96.2
2067,SFN,1,110,[],[],0.0,0.0,0.0,0.00011393756118926286,0.08212727068356432,25.8,27.0,,96.2
2068,DET,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.6127476823037321,0.9996127263875492,28.1,,27.2,92.9
2069,CLE,1,110,[],[2],0.0,0.0346815999999999,-0.0346815999999999,0.4004684910157182,0.9411515356833223,28.0,28.1,,92.1
2070,DET,0,110,[],[2],0.0,0.343368,-0.343368,0.005527861787515079,0.6358486902034063,29.0,28.1,,94.0
2071,DET,1,110,[],[],0.0,0.0,0.0,0.00031057483052044906,0.08974872955379964,29.0,28.1,,94.0
2072,DET,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.3454867271515824,0.9965002675536666,28.1,28.5,,93.7
2073,BAL,0,11,[3],[3],0.28,0.2669248000000001,0.013075199999999954,0.522498282221101,0.975467803845594,,28.7,26.5,92.1
2074,BAL,0,110,[],[],0.0,0.0,0.0,0.0006893735683342688,0.2197533591120632,26.1,30.1,,92.1
2075,BAL,0,110,[],[2],0.0,0.0651119999999998,-0.0651119999999998,0.003997636839060989,0.3496550940463689,28.8,27.4,,92.1
2076,DET,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.5878925067029501,0.9987567528925777,28.1,28.5,,90.6
2077,DET,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.04047340937547017,0.9934348646021135,28.1,,28.5,87.9
2078,NYN,1,110,[],[],0.0,0.0,0.0,0.7242874415210623,0.4549413612587302,27.8,23.6,,90.2
2079,DET,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.5666085172486135,0.996633466756778,28.1,28.5,,90.9
2080,DET,0,101,[],[],0.0,0.0,0.0,0.00015009532387622143,0.5381132426751367,27.4,,28.1,97.9
2081,SEA,0,110,"[2, 1]",[2],0.486,0.5288719999999999,-0.04287199999999991,0.4813250667367828,0.8569566002408312,26.4,29.6,,90.2
2082,SEA,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.03981937006863988,0.9899988805267645,26.0,,29.6,96.2
2083,DET,1,110,[],[],0.0,0.0,0.0,0.002239892852200428,0.2481567178865868,28.5,27.2,,97.9
2084,DET,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.32160353231474564,0.9960502715625158,26.9,27.2,,93.1
2086,CHA,0,110,[],[],0.0,0.0,0.0,0.0005077087067352411,0.18906803096661545,27.3,27.2,,96.2
2088,CHA,1,101,[3],[3],0.7290000000000001,0.5788152,0.15018480000000012,0.0033496537630172338,0.8318161882830681,28.7,,26.5,90.2
2089,DET,1,101,[3],[3],0.502,0.7290000000000001,-0.2270000000000001,0.4592230862173363,0.9996164627252778,29.0,,27.4,92.8
2090,DET,1,101,"[3, 1]",[3],0.829,0.4369740000000001,0.3920259999999999,0.004618705510359306,0.6363806986084439,26.9,,27.4,97.0
2092,DET,1,101,[3],"[1, 3]",0.7290000000000001,0.8156584,-0.08665839999999991,0.9408286315906038,0.9999850771284613,28.1,,27.2,93.7
2094,DET,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.05394641113095286,0.9954543830368563,28.1,,27.4,93.7
2097,DET,1,110,[],[],0.0,0.0,0.0,0.0015656701845268497,0.0020764955279856437,27.2,27.2,,91.8
2098,ATL,0,110,[],[],0.0,0.0,0.0,0.00021732127035959463,0.041922153980532076,28.1,26.2,,96.2
2101,TOR,0,110,[],[],0.0,0.0,0.0,0.0020068117554944503,0.07332404221923626,28.8,27.1,,96.2
2102,TOR,1,110,"[2, 1]",[2],0.1469999999999999,0.0549999999999999,0.092,0.7449749662041479,0.9970160344673057,28.8,27.1,,96.2
2104,DET,0,110,[2],[2],0.6679999999999999,0.5845232,0.0834767999999999,0.030329053869164572,0.9159471273730135,28.1,27.4,,100.7
2105,DET,1,110,[],[2],0.0,0.0245224,-0.0245224,0.057478984993562944,0.914884011657488,28.1,27.2,,94.3
2106,ANA,0,11,"[3, 2]","[2, 3]",0.5589999999999999,0.3705583999999998,0.18844160000000015,0.6718873152853352,0.997909369383704,,26.8,25.2,90.2
2107,ANA,1,110,[2],[2],0.0549999999999999,0.0143632,0.040636799999999904,0.042361926595209425,0.8680546270705102,26.8,24.7,,95.0
2108,TBA,1,110,[],[],0.0,0.0,0.0,0.18238310814756614,0.16837443822115306,28.4,27.3,,90.2
2109,DET,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.23082947909806156,0.9834008639814875,28.1,28.1,,101.3
2110,DET,0,11,[3],[3],0.28,0.28,0.0,0.4092542980956797,0.9948508978294036,,28.1,29.3,89.8
2111,CHN,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9984672675203348,0.99903635257362,,28.6,27.5,92.1
2112,DET,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.8251872758915805,0.9993320769330875,28.1,27.2,,90.1
2113,DET,1,101,[3],[3],0.7290000000000001,0.4870356,0.24196440000000008,0.007817610051159652,0.6990556737290609,25.7,,28.5,91.2
2114,HOU,1,110,[],[],0.0,0.0,0.0,0.007676013307478968,0.7497185523607071,26.6,26.3,,92.1
2115,CHA,1,110,[2],[2],0.0549999999999999,0.0549999999999999,0.0,0.12764260062126145,0.9854860073947787,27.3,27.2,,95.0
2116,DET,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.965082770282703,0.9993232109989455,29.3,26.4,,92.8
2117,CHA,0,110,[2],[2],0.6679999999999999,0.6679999999999999,0.0,0.7070548307026049,0.9973514294046886,27.2,27.6,,93.9
2118,CIN,1,110,[],[2],0.0,0.0143632,-0.0143632,0.24867514871961163,0.8815685730757358,30.5,26.9,,93.9
2119,DET,0,110,[],[],0.0,0.0,0.0,7.346671939250025e-05,0.00033767338670538086,29.0,26.4,,94.8
2120,DET,0,110,[],[2],0.0,0.1764143999999999,-0.1764143999999999,0.003970637505203069,0.4601724169024604,29.0,27.2,,94.0
2122,CLE,0,110,[],[2],0.0,0.5845232,-0.5845232,0.061783814358308486,0.9236777850917336,29.2,28.0,,95.0
2123,CLE,1,110,[],[],0.0,0.0,0.0,0.027917378813281823,0.029368405228412397,29.2,28.0,,96.2
2124,DET,1,110,[],[2],0.0,0.0549999999999999,-0.0549999999999999,0.5752404436350109,0.9957519346981843,28.1,29.0,,94.3
2125,HOU,0,110,[],[2],0.0,0.2598912,-0.2598912,0.017514791241720604,0.5483784101601422,28.4,27.6,,92.8
2127,CHA,1,101,[],[],0.0,0.0,0.0,3.087312924356226e-05,0.06261925397790309,22.8,,25.5,98.6
2130,HOU,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.034261411964242365,0.9978560133599536,26.3,,29.4,96.2
2131,HOU,1,110,[],[],0.0,0.0,0.0,2.7270268011146108e-05,0.009376359478793542,28.1,27.6,,97.0
2132,HOU,1,101,[3],[3],0.7290000000000001,0.603846,0.1251540000000001,0.0005685133759412799,0.8509468686642997,28.4,,29.4,98.8
2133,TEX,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9981441584566355,0.9997457823762272,,26.8,27.3,90.1
2134,TOR,1,110,"[2, 1]",[2],0.1469999999999999,0.0245224,0.12247759999999991,0.08208195696608629,0.9210230608268807,27.1,28.8,,97.0
2135,HOU,0,101,[3],[],-0.0649999999999999,0.0,-0.0649999999999999,0.007663981721434726,0.9426236731163914,23.2,,29.2,92.6
2136,TOR,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.27168946150847295,0.9810740203498822,27.1,26.9,,97.0
2137,HOU,1,110,[2],[2],0.0549999999999999,0.0448407999999999,0.0101592,0.0822752568335294,0.971336065691169,26.3,26.3,,94.2
2138,HOU,1,110,[],[],0.0,0.0,0.0,0.008100126533512978,0.44551046667584054,29.2,28.4,,99.3
2139,PHI,0,110,[],[2],0.0,0.5288719999999999,-0.5288719999999999,0.0009421975111768818,0.8368550102426443,25.0,30.3,,90.1
2140,PHI,1,110,[],[2],0.0,0.0448407999999999,-0.0448407999999999,0.02224675543566115,0.9563785388030923,25.0,30.3,,97.0
2142,HOU,1,11,[3],[3],0.737,0.6557876,0.08121239999999996,0.23489903409611226,0.8988934526542794,,28.1,23.2,93.4
2144,MIN,1,110,[],[],0.0,0.0,0.0,0.0012408590689194255,0.20839861790233008,27.2,25.4,,90.1
2145,ANA,0,110,[],[2],0.0,0.1485887999999999,-0.1485887999999999,0.001503298378620015,0.4548381575725064,26.2,26.8,,90.1
2146,ANA,0,110,[],[2],0.0,0.0651119999999998,-0.0651119999999998,0.008641989608894047,0.33704415228477297,28.0,26.9,,91.2
2147,HOU,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.024766382002988876,0.9992783162255745,23.2,,29.2,95.4
2148,HOU,1,110,[],[],0.0,0.0,0.0,0.0010084526223584336,0.1287725139840301,26.3,26.9,,89.2
2149,HOU,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9982719737396278,0.9994274586807136,,26.9,28.4,91.7
2150,HOU,1,11,[],[3],0.0,0.5745752,-0.5745752,0.5108779197117802,0.8075072474371806,,26.9,28.4,91.7
2151,NYN,0,110,[],[],0.0,0.0,0.0,0.0007524720190315922,0.05818116068183854,26.4,27.3,,97.0
2152,HOU,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.17389090675718066,0.9999291142983354,23.2,,28.4,90.9
2153,HOU,1,110,[],[2],0.0,0.0245224,-0.0245224,0.06802843910609585,0.9211453239975645,29.4,27.6,,96.8
2154,NYN,0,11,[],[],0.0,0.0,0.0,0.0005188269831205073,0.23338986337769138,,26.4,27.8,98.6
2155,NYN,1,11,[3],[3],0.737,0.4482448,0.2887552,0.24551676027862643,0.678441384419661,,26.4,27.8,90.1
2156,NYN,1,11,"[3, 2]","[2, 3]",0.779,0.779,0.0,0.9963080413214583,0.998368918739392,,27.1,28.0,90.1
2157,SEA,0,110,[],[2],0.0,0.5010463999999999,-0.5010463999999999,0.02210193112196398,0.815073082975099,26.4,28.6,,91.2
2158,TEX,1,101,[],[3],0.0,0.3618816,-0.3618816,0.00016112775594595005,0.5683194077143531,28.5,,29.1,97.0
2159,HOU,1,101,[3],[3],0.7290000000000001,0.7290000000000001,0.0,0.014276604311600116,0.993194691321679,25.5,,26.6,98.8
2160,HOU,1,11,[3],[3],0.737,0.737,0.0,0.5003874394938055,0.9926353961630726,,28.2,25.5,91.9
2161,HOU,0,110,[],[],0.0,0.0,0.0,7.52464935557069e-05,0.027890073520449067,26.3,26.3,,97.0
2162,TEX,1,110,[],[],0.0,0.0,0.0,0.002953423087590702,0.11093266598733399,25.7,26.8,,97.0
2164,CLE,1,11,"[3, 2]","[2, 3]",0.779,0.7488896,0.03011039999999998,0.8851396969680256,0.9980063232361898,,27.4,28.0,97.0
2165,CLE,0,110,[],[],0.0,0.0,0.0,0.015471298021934726,0.01777459175894583,28.0,26.8,,87.5
2166,HOU,0,110,[],[],0.0,0.0,0.0,0.0001199369961586975,0.0009037412640924903,26.3,26.9,,92.1
2167,ANA,0,110,[2],[2],0.6679999999999999,0.6123487999999999,0.05565120000000001,0.04479214454300842,0.9375988678925572,26.9,27.8,,99.3
2168,SEA,0,110,[],[2],0.0,0.0929375999999999,-0.0929375999999999,0.1893748972384216,0.38012189723758766,26.4,29.6,,87.5
2170,BOS,1,101,[],[3],0.0,0.5120664,-0.5120664,0.001504392248955959,0.7288181550368289,26.2,,27.3,91.2
